"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Mike Foltynewicz","Braves","1","1","0","3","3","15.1","10.57","2.93","1.17",".293","75.6 %","45.2 %","12.5 %","2.93","3.59","3.47","0.2","10811"
"Carlos Carrasco","Indians","3","0","0","3","3","20.2","6.10","1.31","1.31",".211","72.5 %","47.5 %","15.0 %","3.48","4.03","3.61","0.2","6632"
"Anibal Sanchez","Braves","1","0","0","3","2","14.0","9.00","3.86","0.64",".278","96.4 %","43.2 %","9.1 %","1.29","3.49","3.75","0.2","3284"
"Jordan Montgomery","Yankees","1","0","0","3","3","15.1","7.04","3.52","1.17",".326","74.3 %","43.8 %","10.0 %","4.70","4.37","4.64","0.2","16511"
"Matt Boyd","Tigers","0","1","0","2","2","13.0","3.46","0.69","0.69",".154","92.1 %","27.5 %","4.0 %","1.38","3.76","5.66","0.2","15440"
"James Shields","White Sox","1","0","0","3","3","17.1","3.63","3.63","0.52",".267","72.0 %","45.8 %","5.0 %","4.15","4.39","5.39","0.2","7059"
"Zack Greinke","Diamondbacks","1","1","0","3","3","17.0","11.12","0.53","2.12",".333","71.4 %","34.7 %","21.1 %","5.29","4.01","2.64","0.2","1943"
"Tanner Roark","Nationals","1","1","0","3","3","18.0","9.00","3.00","1.50",".205","72.5 %","36.2 %","13.6 %","3.50","4.23","3.91","0.2","8753"
"Dallas Keuchel","Astros","0","2","0","3","3","15.0","7.80","5.40","0.60",".354","74.2 %","59.2 %","8.3 %","4.20","4.00","4.34","0.2","9434"
"Reynaldo Lopez","White Sox","0","1","0","2","2","13.0","7.62","4.85","0.69",".103","93.8 %","36.7 %","7.1 %","0.69","3.99","4.62","0.2","16400"
"Tyson Ross","Padres","2","1","0","3","3","18.0","7.00","2.00","1.00",".296","74.3 %","54.5 %","16.7 %","3.50","3.79","3.35","0.2","7872"
"Marcus Stroman","Blue Jays","0","1","0","3","3","14.2","9.82","6.14","0.61",".378","56.4 %","69.6 %","14.3 %","7.98","3.81","3.65","0.2","13431"
"Lucas Giolito","White Sox","0","2","0","3","3","18.0","4.00","6.00","0.00",".228","58.6 %","35.1 %","0.0 %","5.50","4.84","7.19","0.2","15474"
"Aaron Sanchez","Blue Jays","1","1","0","3","3","19.2","5.95","5.03","0.46",".296","77.7 %","54.5 %","5.6 %","3.66","4.54","5.26","0.1","11490"
"James Paxton","Mariners","0","1","0","3","3","15.2","12.06","3.45","1.72",".333","69.2 %","29.3 %","13.0 %","5.74","4.21","3.94","0.1","11828"
"Eddie Butler","Cubs","0","1","0","5","0","14.2","6.14","1.84","0.61",".209","69.0 %","65.1 %","10.0 %","2.45","3.20","3.34","0.1","13453"
"Marco Estrada","Blue Jays","1","1","0","3","3","17.0","7.41","3.71","1.59",".250","78.7 %","33.3 %","11.5 %","4.24","4.95","4.96","0.1","1118"
"Chad Bettis","Rockies","2","0","0","3","3","17.2","6.11","4.08","1.02",".213","93.4 %","40.4 %","10.0 %","2.04","4.71","4.95","0.1","10587"
"Jon Lester","Cubs","1","0","0","3","3","14.1","6.91","4.40","0.63",".348","72.0 %","56.5 %","10.0 %","4.40","4.11","4.26","0.1","4930"
"Jakob Junis","Royals","2","1","0","3","3","18.2","7.71","1.93","1.45",".170","100.0 %","38.0 %","12.5 %","1.93","4.56","4.42","0.1","13619"
"Blake Snell","Rays","1","1","0","3","3","15.0","10.20","6.00","1.20",".182","79.0 %","40.0 %","11.8 %","3.60","4.53","4.51","0.1","13543"
"Jose Urena","Marlins","0","2","0","3","3","16.0","7.31","3.38","1.13",".295","70.8 %","43.5 %","11.8 %","5.06","4.75","4.73","0.1","11589"
"Jarlin Garcia","Marlins","0","0","0","3","1","16.0","6.19","3.38","0.56",".103","93.8 %","57.5 %","7.7 %","1.13","3.63","4.04","0.1","18282"
"Miles Mikolas","Cardinals","2","0","0","3","3","19.0","6.63","0.95","1.89",".259","77.9 %","49.2 %","26.7 %","4.26","4.64","3.10","0.1","9803"
"Chase Anderson","Brewers","1","1","0","4","4","22.1","7.25","2.82","1.61",".193","92.8 %","35.0 %","14.3 %","2.82","5.12","4.69","0.1","6895"
"Brandon McCarthy","Braves","2","0","0","3","3","16.1","6.61","3.31","1.10",".277","82.4 %","48.9 %","20.0 %","3.31","4.29","3.62","0.1","4662"
"Chris Archer","Rays","1","1","0","4","4","20.2","10.45","3.92","1.74",".379","55.9 %","40.3 %","18.2 %","7.84","4.71","3.80","0.1","6345"
"Matt Harvey","Mets","0","1","0","3","3","15.0","7.80","1.80","1.80",".319","78.7 %","43.8 %","18.8 %","4.80","4.73","3.74","0.1","11713"
"Michael Fulmer","Tigers","1","2","0","3","3","16.1","4.96","2.76","1.10",".302","67.6 %","50.0 %","14.3 %","3.86","4.84","4.54","0.1","13218"
"J.A. Happ","Blue Jays","2","1","0","3","3","16.0","12.94","2.81","2.25",".333","86.2 %","45.0 %","33.3 %","3.94","4.75","2.64","0.0","7410"
"Ivan Nova","Pirates","1","1","0","3","3","17.1","6.75","2.08","1.56",".283","69.2 %","41.1 %","13.0 %","5.19","4.68","4.44","0.0","1994"
"Rich Hill","Dodgers","1","1","0","3","3","15.0","9.60","4.20","1.80",".350","70.7 %","28.6 %","17.6 %","6.00","4.93","4.04","0.0","4806"
"Jose Quintana","Cubs","1","1","0","3","3","14.1","5.65","6.28","0.63",".319","52.9 %","53.3 %","8.3 %","8.16","4.81","5.17","0.0","11423"
"Yu Darvish","Cubs","0","1","0","3","3","15.0","10.20","4.20","1.80",".325","72.1 %","41.5 %","21.4 %","6.00","5.20","4.01","0.0","13074"
"Garrett Richards","Angels","2","0","0","4","4","20.0","10.80","6.75","1.35",".222","84.7 %","56.3 %","23.1 %","3.60","5.01","4.05","0.0","9784"
"Zach Davies","Brewers","0","2","0","3","3","16.0","10.13","2.81","2.25",".366","61.9 %","34.1 %","22.2 %","6.75","5.19","3.64","0.0","13183"
"Danny Duffy","Royals","0","2","0","3","3","15.0","9.00","4.80","1.80",".262","67.4 %","26.7 %","13.0 %","5.40","5.26","4.98","0.0","3542"
"Tyler Mahle","Reds","1","2","0","3","3","16.0","7.88","1.69","2.25",".326","74.7 %","36.0 %","21.1 %","5.63","5.31","3.86","-0.1","16358"
"Andrew Cashner","Orioles","1","1","0","3","3","18.0","8.00","4.00","2.00",".190","97.4 %","39.1 %","16.7 %","2.50","5.68","4.80","-0.1","8782"
"Luis Castillo","Reds","0","2","0","3","3","16.0","7.31","2.25","2.25",".271","52.0 %","50.0 %","23.5 %","7.31","5.44","3.80","-0.1","15689"
"Kevin Gausman","Orioles","1","1","0","3","3","15.0","9.00","3.60","2.40",".318","72.2 %","38.3 %","23.5 %","6.60","5.93","4.18","-0.1","14107"
"Robbie Ray","Diamondbacks","2","0","0","3","3","15.2","13.21","6.32","2.30",".303","72.2 %","34.3 %","23.5 %","5.74","5.55","3.87","-0.1","11486"
