playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Cody Allen,LAA,AL,70,0,3,4,0,0,0,0,0,64,54,0,28,8,26,79,592102,12183,0,70,RP
Michael Soroka,ATL,NL,5,13,5,4,0,0,0,0,0,73,73,0,32,8,20,61,647336,18383,5,0,SP
Jon Gray,COL,NL,31,30,12,10,0,0,0,0,0,170,167,0,74,22,52,178,592351,14916,31,0,SP
Michael Feliz,PIT,NL,47,0,2,1,0,0,0,0,0,34,31,0,16,4,14,40,593140,11903,0,47,RP
Tommy Hunter,PHI,NL,65,0,3,3,0,0,0,0,0,57,55,0,24,7,15,51,488984,1157,0,65,RP|SP
Dallas Keuchel,HOU,AL,34,29,11,9,0,0,0,0,0,171,170,0,70,16,51,134,572971,9434,34,0,SP
Joshua James,HOU,AL,6,21,8,6,0,0,0,0,0,114,99,0,50,14,47,132,657624,16794,3,3,SP
Brian Moran,,,7,0,0,0,0,0,0,0,0,9,9,0,4,1,4,7,,sa501495,0,0,
Chris Paddack,,,19,15,6,6,0,0,0,0,0,85,79,0,35,11,21,83,,sa875195,0,0,
Carl Edwards Jr.,CHC,NL,58,0,3,3,0,0,0,0,0,58,42,0,23,6,34,77,605218,13607,0,58,RP
Nathan Eovaldi,BOS,AL,12,27,11,7,0,0,0,0,0,148,146,0,64,19,37,133,543135,9132,11,1,Relief Pitcher
Seth Lugo,NYM,NL,54,2,4,4,0,0,0,0,0,90,82,0,35,11,24,87,607625,12447,5,49,RP|SP
Luke Gregerson,STL,NL,17,0,2,1,0,0,0,0,0,36,34,0,17,4,13,38,502381,4090,0,17,RP
Stephen Tarpley,NYY,AL,10,0,1,0,0,0,0,0,0,15,15,0,7,2,7,17,605501,15859,0,10,SP|RP
Yoan Lopez,ARI,NL,10,0,1,1,0,0,0,0,0,29,25,0,13,4,13,34,661255,17181,0,10,RP
Silvino Bracho,ARI,NL,31,0,2,2,0,0,0,0,0,42,37,0,19,6,15,49,611093,15051,0,31,RP
Matt Strahm,SD,NL,41,3,4,4,0,0,0,0,0,81,66,0,31,10,31,91,621381,13799,4,37,RP
Sam Dyson,SF,NL,74,0,3,4,0,0,0,0,0,63,61,0,26,5,22,50,473879,11710,0,74,RP
Trey Wingenter,SD,NL,22,0,2,2,0,0,0,0,0,53,42,0,22,6,28,66,622259,17793,0,22,Closer
Brendan McCurry,,,8,0,1,0,0,0,0,0,0,8,7,0,4,1,3,8,,sa829486,0,0,
David Price,BOS,AL,30,30,14,8,0,0,0,0,0,177,167,0,75,24,50,179,456034,3184,30,0,SP
Dominic Leone,STL,NL,30,0,2,2,0,0,0,0,0,42,39,0,19,5,16,44,608678,13763,0,30,RP
JT Chargois,LAD,NL,39,0,1,1,0,0,0,0,0,20,18,0,8,2,9,20,608638,13767,0,39,RP
Heath Hembree,BOS,AL,67,0,3,2,0,0,0,0,0,59,55,0,27,8,22,68,592390,11632,0,67,RP
Adam Morgan,PHI,NL,67,0,1,2,0,0,0,0,0,41,39,0,19,5,14,43,605388,12580,0,67,RP|SP
Jake Petricka,MIL,AL,41,0,1,1,0,0,0,0,0,21,22,0,10,2,7,19,502593,10534,0,41,RP
Hyun-Jin Ryu,LAD,NL,16,22,9,6,0,0,0,0,0,119,112,0,46,16,31,117,547943,14444,15,0,SP
Pat Neshek,PHI,NL,30,0,3,2,0,0,0,0,0,53,49,0,21,8,11,49,450212,4682,0,30,RP
Robbie Ray,ARI,NL,25,29,10,8,0,0,0,0,0,160,133,0,67,21,75,206,592662,11486,24,0,SP
Travis Bergen,,,25,0,1,1,0,0,0,0,0,24,22,0,11,3,10,25,,sa856186,0,0,
Carlos Martinez,STL,NL,34,21,9,7,0,0,0,0,0,130,119,0,53,13,51,127,593372,11682,18,15,SP|RP
Nick Pivetta,PHI,NL,34,30,10,11,0,0,0,0,0,162,153,0,69,23,52,181,601713,15454,32,1,SP
Grant Dayton,ATL,,7,0,0,0,0,0,0,0,0,6,5,0,3,1,2,7,594795,11203,0,0,RP
Joey Lucchesi,SD,NL,26,28,10,10,0,0,0,0,0,154,144,0,66,20,50,158,664192,19320,26,0,SP
Nate Jones,CWS,AL,33,0,3,3,0,0,0,0,0,48,43,0,20,6,18,52,518858,4696,0,33,RP
Trevor Hildenberger,MIN,AL,73,0,3,3,0,0,0,0,0,59,56,0,25,7,18,58,657610,17002,0,73,RP
Arodys Vizcaino,ATL,NL,39,0,3,2,0,0,0,0,0,57,48,0,22,6,24,62,527055,5498,0,39,Catcher
Collin McHugh,HOU,AL,58,19,9,5,0,0,0,0,0,119,110,0,52,16,35,125,543521,7531,0,58,SP
David Hernandez,CIN,NL,57,0,3,2,0,0,0,0,0,61,56,0,25,8,18,62,456696,4259,0,57,RP
Masahiro Tanaka,NYY,AL,27,28,12,8,0,0,0,0,0,163,154,0,70,24,37,164,547888,15764,27,0,SP
Luiz Gohara,ATL,NL,9,4,1,1,0,0,0,0,0,24,23,0,11,3,9,23,627894,15166,1,8,SP|RP
Tommy Kahnle,NYY,AL,24,0,2,2,0,0,0,0,0,43,39,0,20,5,21,54,592454,11384,0,24,RP
Ryan Brasier,BOS,AL,34,0,3,2,0,0,0,0,0,61,54,0,23,8,18,57,518489,5615,0,34,Designated Hitter
Drew Gagnon,NYM,NL,5,0,1,0,0,0,0,0,0,9,9,0,4,1,3,9,543193,12545,1,4,SP
Kyle Crick,PIT,NL,64,0,2,2,0,0,0,0,0,54,47,0,22,5,27,57,605195,13182,0,64,RP
Eduardo Rodriguez,BOS,AL,27,27,11,7,0,0,0,0,0,151,137,0,67,20,53,164,593958,13164,23,4,SP
Bryse Wilson,ATL,NL,3,1,1,1,0,0,0,0,0,11,11,0,5,1,4,11,669060,19990,1,2,SP
Jonny Venters,ATL,NL,28,0,3,2,0,0,0,0,0,42,38,0,18,3,20,37,458924,7175,0,28,RP
Blake Parker,MIN,AL,67,0,3,2,0,0,0,0,0,61,56,0,26,9,19,65,453284,5224,0,67,RP
David Paulino,TOR,AL,7,1,2,2,0,0,0,0,0,42,40,0,19,6,13,44,600944,17418,0,7,RP
Joe Musgrove,PIT,NL,20,27,10,9,0,0,0,0,0,154,155,0,66,20,33,134,605397,12970,19,0,SP
Ben Taylor,CLE,AL,6,0,0,0,0,0,0,0,0,8,7,0,4,1,3,9,664701,18114,0,6,RP
Pedro Baez,LAD,NL,55,0,3,2,0,0,0,0,0,57,49,0,23,7,21,62,520980,5420,0,55,RP
Edubray Ramos,PHI,NL,52,0,1,2,0,0,0,0,0,29,27,0,13,4,11,32,591693,16086,0,52,RP
Kyle Hendricks,CHC,NL,33,31,13,9,0,0,0,0,0,186,178,0,77,23,46,157,543294,12049,33,0,SP
John Brebbia,STL,NL,45,0,3,2,0,0,0,0,0,49,44,0,19,7,14,54,605154,12777,0,45,RP
Matt Grace,WSH,NL,56,0,2,2,0,0,0,0,0,47,48,0,20,4,14,37,594840,11449,0,56,RP
Rich Hill,LAD,NL,25,22,10,6,0,0,0,0,0,121,99,0,48,16,40,135,448179,4806,24,1,SP|RP
Mike Clevinger,CLE,AL,32,30,13,9,0,0,0,0,0,180,156,0,73,23,68,190,605182,12808,32,0,SP
David Phelps,TOR,,37,0,2,2,0,0,0,0,0,38,35,0,17,5,15,41,475479,6316,0,0,SP
