playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Dinelson Lamet,SD,NL,21,28,9,9,0,0,0,0,0,154,131,0,68,21,63,177,659275,17186,21,0,SP
Mike Foltynewicz,ATL,NL,29,29,11,10,0,0,0,0,0,162,161,0,78,19,58,153,592314,10811,28,1,SP
Gio Gonzalez,WSH,NL,32,32,12,10,0,0,0,0,0,189,179,0,83,21,72,176,461829,7448,32,0,SP
Jakob Junis,KC,AL,20,22,8,10,0,0,0,0,0,167,163,0,75,22,43,143,596001,13619,16,4,SP
J.A. Happ,TOR,AL,25,30,11,9,0,0,0,0,0,175,168,0,71,22,53,156,457918,7410,25,0,SP
Aaron Sanchez,TOR,AL,8,26,12,7,0,0,0,0,0,156,141,0,61,16,55,129,592717,11490,8,0,SP
Mike Clevinger,CLE,AL,27,27,11,7,0,0,0,0,0,148,129,0,60,17,67,156,605182,12808,21,6,SP
Marc Rzepczynski,SEA,AL,64,0,1,2,0,0,0,0,0,32,29,0,12,2,17,27,519240,6612,0,64,RP
Adam Wainwright,STL,NL,26,22,8,8,0,0,0,0,0,122,128,0,60,14,37,96,425794,2233,23,1,SP
Ervin Santana,MIN,AL,33,31,14,9,0,0,0,0,0,196,183,0,80,24,58,160,429722,3200,33,0,SP
Jerad Eickhoff,PHI,NL,24,30,9,10,0,0,0,0,0,183,179,0,84,25,53,161,595191,12664,24,0,SP
Julio Teheran,ATL,NL,37,33,12,10,0,0,0,0,0,205,194,0,87,26,62,171,527054,6797,32,0,SP
Danny Barnes,TOR,AL,60,0,3,3,0,0,0,0,0,60,56,0,23,8,21,57,592130,11388,0,60,RP
Felix Hernandez,SEA,AL,16,24,11,8,0,0,0,0,0,139,130,0,60,20,41,129,433587,4772,16,0,SP
Homer Bailey,CIN,NL,18,25,10,9,0,0,0,0,0,140,134,0,69,17,50,122,456701,8362,18,0,SP
Tanner Roark,WSH,NL,32,28,12,10,0,0,0,0,0,188,178,0,85,22,67,157,543699,8753,30,2,SP
Marco Gonzales,SEA,AL,10,21,8,7,0,0,0,0,0,130,130,0,60,17,37,104,594835,15467,7,3,SP
Jaime Garcia,TOR,NL,18,26,8,10,0,0,0,0,0,151,148,0,70,19,51,126,448802,8137,18,0,SP
Kevin Gausman,BAL,AL,34,31,11,10,0,0,0,0,0,174,172,0,80,26,56,168,592332,14107,34,0,SP
Lucas Giolito,CWS,AL,7,26,9,9,0,0,0,0,0,161,154,0,69,23,54,148,608337,15474,7,0,SP
Marco Estrada,TOR,AL,33,30,11,9,0,0,0,0,0,173,152,0,75,24,62,160,462136,1118,33,0,SP
Kyle Gibson,MIN,AL,29,29,12,10,0,0,0,0,0,167,175,0,78,20,55,124,502043,10123,29,0,SP
Lance Lynn,MIN,NL,33,32,12,10,0,0,0,0,0,186,175,0,73,23,74,159,458681,2520,33,0,SP
Nick Pivetta,PHI,NL,26,24,8,9,0,0,0,0,0,127,118,0,65,20,46,129,601713,15454,26,0,SP
CC Sabathia,NYY,AL,27,27,11,8,0,0,0,0,0,148,147,0,67,21,51,125,282332,404,27,0,SP
Adalberto Mejia,MIN,AL,21,23,8,8,0,0,0,0,0,125,121,0,61,16,51,107,606167,13188,21,0,RP
Jake Odorizzi,MIN,AL,28,29,11,8,0,0,0,0,0,165,154,0,70,26,51,144,543606,6397,28,0,SP
Erasmo Ramirez,SEA,AL,11,22,9,8,0,0,0,0,0,142,139,0,64,24,35,118,541640,10314,11,0,SP
Robert Stephenson,CIN,NL,26,16,6,6,0,0,0,0,0,106,98,0,49,14,51,102,596112,13594,11,14,SP
Jharel Cotton,OAK,AL,24,26,9,9,0,0,0,0,0,143,145,0,71,23,51,119,605194,13654,24,0,SP
Bartolo Colon,MIN,NL,13,20,6,8,0,0,0,0,0,101,120,0,60,20,23,62,112526,375,13,0,SP
Ariel Miranda,SEA,AL,32,11,6,6,0,0,0,0,0,97,90,0,47,19,36,81,664641,17526,29,2,SP
