playerName,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Lance McCullers,HOU,AL,22,24,10,7,0,0,0,0,0,137,123,0,55,13,53,145,621121,14120,22,0,SP
Blake Parker,LAA,AL,71,0,4,3,0,0,0,0,0,65,54,0,25,8,22,74,453284,5224,0,71,RP
Shohei Ohtani,,,24,24,10,7,0,0,0,0,0,148,120,0,59,19,59,183,,19755,0,0,
Luis Severino,NYY,AL,31,31,14,8,0,0,0,0,0,188,164,0,75,25,58,213,622663,15890,31,0,SP
Hector Rondon,HOU,NL,61,0,4,3,0,0,0,0,0,65,58,0,27,8,21,71,444468,2391,0,61,RP
Will Smith,SF,,25,0,1,1,0,0,0,0,0,25,21,0,10,3,11,29,519293,8048,0,0,SP
Ross Stripling,LAD,NL,51,0,3,2,0,0,0,0,0,55,52,0,22,6,16,53,548389,13273,2,47,SP
Tommy Kahnle,NYY,AL,37,0,3,2,0,0,0,0,0,55,44,0,22,7,24,69,592454,11384,0,37,RP
Jeurys Familia,NYM,NL,26,0,3,3,0,0,0,0,0,65,59,0,26,6,27,65,544727,5114,0,26,RP
Brandon Morrow,CHC,NL,45,0,4,3,0,0,0,0,0,65,58,0,26,8,21,68,453344,9346,0,45,SP
Tommy Hunter,PHI,AL,61,0,3,3,0,0,0,0,0,55,50,0,22,7,16,58,488984,1157,0,61,SP
Boone Logan,MIL,AL,38,0,2,2,0,0,0,0,0,40,34,0,16,5,17,49,457429,5525,0,38,RP
Drew Smyly,CHC,,10,0,1,0,0,0,0,0,0,10,9,0,4,1,3,11,592767,11760,0,0,SP
Aaron Nola,PHI,NL,27,29,11,10,0,0,0,0,0,180,167,0,75,23,51,187,605400,16149,27,0,SP
Zack Greinke,ARI,NL,33,32,13,10,0,0,0,0,0,203,194,0,84,25,52,195,425844,1943,32,0,SP
Alex Wood,LAD,NL,27,23,9,7,0,0,0,0,0,131,123,0,51,15,38,125,622072,13781,25,2,SP
Carlos Martinez,STL,NL,34,32,13,10,0,0,0,0,0,202,190,0,84,21,72,203,593372,11682,32,0,SP
Enny Romero,WSH,NL,53,0,2,2,0,0,0,0,0,40,34,0,16,5,17,47,544836,4001,0,53,RP
David Robertson,NYY,AL,31,0,4,3,0,0,0,0,0,65,55,0,27,8,25,79,502085,8241,0,31,RP
Blake Treinen,OAK,AL,35,0,3,3,0,0,0,0,0,65,62,0,27,6,26,63,595014,12572,0,35,SP
Nik Turley,PIT,AL,10,0,1,0,0,0,0,0,0,10,9,0,4,1,4,12,543867,5530,3,7,SP
Liam Hendriks,OAK,AL,70,0,3,3,0,0,0,0,0,55,50,0,23,7,18,58,521230,3548,0,70,SP
Jameson Taillon,PIT,NL,25,32,11,11,0,0,0,0,0,189,190,0,83,21,53,176,592791,11674,25,0,SP
Joe Smith,HOU,AL,21,0,2,2,0,0,0,0,0,45,42,0,18,5,14,45,501925,3281,0,21,RP
Jacob Barnes,MIL,NL,73,0,3,3,0,0,0,0,0,65,58,0,27,7,27,72,606930,12323,0,73,RP
Austin Pruitt,TB,AL,31,0,1,1,0,0,0,0,0,20,19,0,8,2,4,18,643493,15290,8,22,RP
Josh Ravin,ATL,NL,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,502051,2951,0,14,RP
Will Harris,HOU,AL,46,0,3,2,0,0,0,0,0,55,51,0,23,7,17,56,501789,3192,0,46,RP
Cody Allen,CLE,AL,69,0,4,3,0,0,0,0,0,65,54,0,27,9,25,77,592102,12183,0,69,RP
Bryan Shaw,COL,AL,79,0,3,2,0,0,0,0,0,55,53,0,23,6,20,56,543766,8110,0,79,RP
Jose De Leon,TB,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,592254,15463,0,1,SP
Angel Sanchez,PIT,NL,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,605795,11776,0,8,
Kelvin Herrera,KC,AL,64,0,3,3,0,0,0,0,0,65,60,0,27,7,22,65,516969,6033,0,64,RP
Dominic Leone,STL,AL,65,0,3,3,0,0,0,0,0,65,58,0,27,7,26,70,608678,13763,0,65,RP
Danny Salazar,CLE,AL,23,21,9,6,0,0,0,0,0,127,107,0,52,17,49,152,517593,5867,19,4,SP
Bud Norris,STL,AL,60,0,3,2,0,0,0,0,0,55,51,0,23,6,19,57,502032,9492,3,57,SP
Jared Miller,ARI,,15,0,1,1,0,0,0,0,0,15,13,0,6,1,7,17,656744,sa827467,0,0,
Jeff Samardzija,SF,NL,35,32,13,11,0,0,0,0,0,202,196,0,86,26,45,184,502188,3254,32,0,SP
Jimmie Sherfy,ARI,NL,11,0,1,1,0,0,0,0,0,25,21,0,10,3,10,28,642073,15118,0,11,
Wade Davis,COL,NL,59,0,3,3,0,0,0,0,0,65,57,0,27,8,27,74,451584,7441,0,59,RP
Tyler Lyons,STL,NL,50,0,3,2,0,0,0,0,0,55,51,0,23,7,16,57,544928,11334,0,50,SP
Arodys Vizcaino,ATL,NL,62,0,3,3,0,0,0,0,0,65,57,0,27,8,27,75,527055,5498,0,62,RP
Tyler Jones,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549495,0,0,
David Price,BOS,AL,16,29,13,8,0,0,0,0,0,180,168,0,75,24,46,179,456034,3184,11,5,SP
Chris Devenski,HOU,AL,62,0,3,2,0,0,0,0,0,55,48,0,23,8,17,61,606965,12763,0,62,RP
Corey Oswalt,NYM,,10,0,0,0,0,0,0,0,0,10,9,0,4,1,3,10,621261,sa658034,0,0,
Rich Hill,LAD,NL,25,24,10,7,0,0,0,0,0,141,120,0,57,18,50,158,448179,4806,25,0,SP
Josh Hader,MIL,NL,35,0,3,2,0,0,0,0,0,55,44,0,22,7,25,70,623352,14212,0,35,SP
Radhames Liz,PIT,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,467785,5843,0,0,RP
Dallas Keuchel,HOU,AL,23,32,14,9,0,0,0,0,0,202,203,0,83,20,62,169,572971,9434,23,0,SP
Josh Fields,LAD,NL,57,0,2,2,0,0,0,0,0,40,34,0,16,5,13,44,451661,5070,0,57,RP
Chaz Roe,TB,NL,3,0,2,2,0,0,0,0,0,40,35,0,16,4,17,42,475054,9866,0,3,RP
D.J. Snelten,SF,,10,0,1,0,0,0,0,0,0,10,9,0,4,1,4,9,592769,sa549813,0,0,
Aaron Barrett,WSH,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,502578,11243,0,0,RP
Charlie Morton,HOU,AL,25,23,9,6,0,0,0,0,0,130,121,0,55,14,46,131,450203,4676,25,0,SP
Carson Smith,BOS,AL,8,0,4,3,0,0,0,0,0,65,61,0,27,6,27,63,605476,13172,0,8,RP
Josh Smoker,PIT,NL,54,0,2,2,0,0,0,0,0,40,37,0,17,4,17,43,519294,10285,0,54,RP
Eric Yardley,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa744476,0,0,
Koda Glover,WSH,NL,23,0,2,2,0,0,0,0,0,45,41,0,19,5,16,46,606983,17695,0,23,RP
Trevor Hildenberger,MIN,AL,37,0,3,2,0,0,0,0,0,55,54,0,23,6,16,50,657610,17002,0,37,RP
J.T. Chargois,LAD,,10,0,1,0,0,0,0,0,0,10,9,0,4,1,4,10,608638,13767,0,0,RP
C.C. Lee,CLE,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,547348,5177,0,0,RP
Madison Bumgarner,SF,NL,17,32,13,11,0,0,0,0,0,207,195,0,86,28,50,198,518516,5524,17,0,SP
Justin Verlander,HOU,AL,28,32,14,9,0,0,0,0,0,204,180,0,88,29,64,227,434378,8700,28,0,SP
James Pazos,SEA,AL,59,0,2,2,0,0,0,0,0,45,38,0,18,5,21,51,572021,13323,0,59,RP
Zack Weiss,CIN,,10,0,0,0,0,0,0,0,0,10,9,0,4,1,4,11,592848,sa548466,0,0,
Marcus Stroman,TOR,AL,34,31,12,10,0,0,0,0,0,192,196,0,83,19,58,157,573186,13431,33,0,SP
Jon Edwards,SD,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,457754,1483,0,0,RP
Kyle Barraclough,MIA,NL,66,0,3,3,0,0,0,0,0,65,54,0,27,6,36,75,607457,13713,0,66,RP
Chris Rusin,COL,NL,60,0,2,2,0,0,0,0,0,40,41,0,17,5,12,35,543734,9895,0,60,SP
Sam Dyson,SF,NL,38,0,3,3,0,0,0,0,0,65,65,0,27,5,26,52,473879,11710,0,38,RP
Luke Weaver,STL,NL,15,26,10,8,0,0,0,0,0,145,135,0,61,19,42,144,596133,16918,10,3,SP
Alex Reyes,STL,,26,16,7,5,0,0,0,0,0,102,85,0,43,12,49,121,621052,15015,0,0,SP
David Phelps,SEA,NL,44,0,3,3,0,0,0,0,0,55,49,0,23,7,21,59,475479,6316,0,44,SP
Kevin Shackelford,CIN,NL,26,0,2,2,0,0,0,0,0,40,35,0,16,4,18,43,594992,11012,0,26,RP
Greg Holland,COL,NL,61,0,3,3,0,0,0,0,0,65,56,0,27,8,28,73,518813,7196,0,61,RP
Phil Maton,SD,NL,46,0,3,3,0,0,0,0,0,55,49,0,23,7,21,59,664208,18064,0,46,RP
Juan Nicasio,SEA,NL,2,0,3,3,0,0,0,0,0,65,59,0,27,8,23,69,504379,7731,0,2,SP
Jenrry Mejia,NYM,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,516769,8476,0,0,RP|SP
Michael Tonkin,MIN,AL,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,543859,10315,0,16,RP
Trey Wingenter,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa659030,0,0,
Roberto Gomez,SF,NL,4,0,1,1,0,0,0,0,0,20,18,0,8,2,8,19,596816,12963,0,4,
Garrett Richards,LAA,AL,6,26,11,8,0,0,0,0,0,159,150,0,66,17,56,146,572070,9784,6,0,SP
Rex Brothers,ATL,NL,27,0,2,2,0,0,0,0,0,35,29,0,15,4,19,43,571521,9794,0,27,RP
Madison Younginer,ATL,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,572283,10636,0,0,RP
Alex Colome,TB,AL,65,0,3,3,0,0,0,0,0,65,60,0,27,8,22,63,517008,6661,0,65,SP
