playerName,team,league,G,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,mlbamID,playerid,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos
Evan Gattis,HOU,AL,84,409,106,20,4,21,63,65,27,82,4,0,0,594828,11003,49,1,0,0,0,0,0,0,0,C
Austin Jackson,SF,AL,85,439,124,25,3,9,50,56,42,100,2,7,2,457706,9848,0,0,0,0,0,38,38,18,81,CF
Yasmani Grandal,LAD,NL,129,351,83,19,0,19,56,59,44,99,1,0,0,518735,11368,117,0,0,0,0,0,0,0,0,C
Jorge Soler,KC,AL,35,489,120,21,1,24,70,74,57,150,5,2,0,624585,14221,0,0,0,0,0,7,0,15,22,LF
Matt Joyce,OAK,AL,141,514,124,25,1,19,91,69,84,131,5,4,2,459964,3353,0,0,0,0,0,24,1,115,133,LF
Russell Martin,TOR,AL,91,406,95,17,1,17,58,63,62,107,9,3,2,431145,4616,83,0,0,10,0,0,0,0,0,3B
Elvis Andrus,TEX,AL,158,636,184,37,4,15,92,73,46,89,3,26,7,462101,8709,0,0,0,0,157,0,0,0,0,SS
Todd Frazier,NYM,AL,81,521,117,22,1,28,80,87,79,132,8,6,2,453943,785,0,4,0,67,0,0,0,0,0,1B
Matt Holliday,NYY,AL,105,335,82,16,1,15,49,52,40,84,6,0,0,407812,1873,0,8,0,0,0,0,0,0,0,1B
Brett Gardner,NYY,AL,151,553,146,22,4,15,93,61,69,112,7,17,3,458731,9927,0,0,0,0,0,122,22,0,138,LF
Paul DeJong,STL,NL,108,527,138,27,2,25,73,79,32,155,8,4,1,657557,18015,0,0,20,0,86,0,0,0,0,3B
Jeimer Candelario,DET,NL,11,522,141,30,3,13,62,66,55,126,5,0,0,600869,13621,0,1,0,9,0,0,0,0,0,1B
Randal Grichuk,TOR,NL,122,500,126,26,5,25,70,74,34,153,5,8,3,545341,10243,0,0,0,0,0,58,5,55,107,LF
Kennys Vargas,MIN,AL,78,269,67,12,1,12,37,40,31,88,2,0,0,573627,12101,0,40,0,0,0,0,0,0,0,1B
Orlando Arcia,MIL,NL,153,556,158,23,5,15,76,76,47,112,2,24,6,606115,13185,0,0,0,0,152,0,0,0,0,SS
Ryon Healy,SEA,AL,149,464,125,27,1,21,62,67,24,110,2,0,0,592387,15447,0,39,0,34,0,0,0,0,0,1B
Eduardo Nunez,BOS,AL,38,354,104,22,1,10,41,45,14,49,3,15,3,456488,6848,0,0,26,4,5,0,0,0,0,3B
Javier Baez,CHC,NL,145,527,142,26,2,23,71,76,33,146,9,13,3,595879,12979,0,4,80,8,73,0,0,1,1,2B
Ian Kinsler,LAA,AL,139,597,161,28,4,19,99,66,50,95,8,13,4,435079,6195,0,0,135,0,0,0,0,0,0,2B
Mitch Moreland,BOS,AL,149,477,121,30,0,20,64,68,46,111,7,0,0,519048,3086,0,138,0,0,0,0,0,0,0,1B
Dansby Swanson,ATL,NL,144,513,139,26,5,12,60,66,61,116,4,8,2,621020,18314,0,0,0,0,142,0,0,0,0,SS
Manuel Margot,SD,NL,126,609,167,24,10,17,95,68,49,124,3,25,6,622534,14712,0,0,0,0,0,0,123,0,123,CF
