playerName,team,league,G,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,mlbamID,playerid,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos
Alex Bregman,HOU,AL,155,611,177,40,7,23,91,95,62,107,8,16,4,608324,17678,0,0,4,132,30,0,0,0,0,3B
Justin Upton,LAA,AL,125,581,152,37,2,33,96,108,77,181,4,14,4,457708,5222,0,0,0,0,0,124,0,0,124,LF
Manny Machado,BAL,AL,156,624,179,37,1,35,107,105,51,110,3,6,2,592518,11493,0,0,0,156,0,0,0,0,0,3B
Jesse Winker,CIN,NL,47,475,139,26,1,16,95,69,66,93,6,4,2,608385,13590,0,0,0,0,0,2,0,25,27,LF
Gregory Bird,NYY,AL,48,473,123,26,1,27,83,91,65,129,6,0,0,595885,14131,0,46,0,0,0,0,0,0,0,1B
Ryan McMahon,COL,NL,17,490,140,32,4,22,77,84,44,116,5,6,3,641857,15112,0,7,4,3,0,0,0,0,0,
Khris Davis,OAK,AL,153,569,143,24,2,41,101,115,69,182,6,5,2,501981,9112,0,0,0,0,0,116,0,0,116,LF
Buster Posey,SF,NL,140,512,158,32,1,13,71,75,66,69,5,4,0,457763,9166,99,38,0,0,0,0,0,0,0,1B
Marcell Ozuna,STL,NL,159,594,168,31,3,30,93,102,58,137,3,4,3,542303,10324,0,0,0,0,0,152,3,1,153,LF
Domingo Santana,MIL,NL,151,558,149,28,1,28,88,100,76,187,7,13,5,570267,10348,0,0,0,0,0,0,0,144,144,LF
Carlos Santana,PHI,AL,154,552,142,31,3,27,89,99,91,99,4,5,1,467793,2396,0,140,0,0,0,0,0,7,7,1B
Eugenio Suarez,CIN,NL,156,556,146,29,3,26,86,99,82,142,8,6,2,553993,12552,0,0,0,153,1,0,0,0,0,3B
Josh Bell,PIT,NL,159,587,161,29,7,27,91,100,79,112,3,4,2,605137,13145,0,147,0,0,0,0,0,0,0,1B
Matt Olson,OAK,AL,59,553,140,27,1,36,96,108,74,167,4,4,0,621566,14344,0,43,0,0,0,0,0,12,12,LF
Brian Dozier,MIN,AL,152,614,163,32,4,34,130,96,71,148,8,15,3,572821,9810,0,0,152,0,0,0,0,0,0,2B
Francisco Lindor,CLE,AL,159,622,180,37,5,26,115,93,61,85,3,16,4,596019,12916,0,0,0,0,158,0,0,0,0,SS
Rafael Devers,BOS,AL,58,510,146,30,4,23,78,85,43,121,3,5,2,646240,17350,0,0,0,56,0,0,0,0,0,
Jose Martinez,STL,NL,106,407,119,19,1,15,60,64,49,84,2,4,1,500874,7996,0,33,0,0,0,24,0,17,40,1B
Adam Eaton,WSH,NL,23,572,166,29,9,12,95,76,69,101,13,18,5,594809,11205,0,0,0,0,0,5,20,2,23,RF
Dexter Fowler,STL,NL,118,509,136,24,7,18,86,77,77,127,7,11,3,451594,4062,0,0,0,0,0,0,109,0,109,CF
Aaron Altherr,PHI,NL,107,466,126,29,5,20,71,79,46,126,10,11,3,571437,11270,0,0,0,0,0,52,19,50,106,LF
Ryan Braun,MIL,NL,104,471,132,28,3,21,71,76,48,95,4,11,2,460075,3410,0,0,0,0,0,95,0,0,95,LF
Eric Thames,MIL,NL,138,504,125,28,4,27,80,92,71,159,7,5,2,519346,3711,0,108,0,0,0,25,0,5,29,1B
Xander Bogaerts,BOS,AL,148,563,167,34,3,16,75,86,57,112,5,16,2,593428,12161,0,0,0,0,146,0,0,0,0,SS
Justin Smoak,TOR,AL,158,571,151,25,1,30,90,99,73,143,3,1,0,475253,9054,0,151,0,0,0,0,0,0,0,1B
DJ LeMahieu,COL,NL,155,613,195,27,6,9,103,71,62,87,4,11,3,518934,9874,0,0,153,0,0,0,0,0,0,2B
Justin Bour,MIA,NL,108,491,134,24,0,26,76,87,64,115,1,1,0,571506,9744,0,102,0,0,0,0,0,0,0,1B
Shin-Soo Choo,TEX,AL,149,518,140,23,1,20,97,77,71,131,12,12,4,425783,3174,0,0,0,0,0,0,0,77,77,RF
Eric Hosmer,SD,AL,162,612,178,31,2,24,89,93,61,113,1,5,1,543333,3516,0,157,0,0,0,0,0,0,0,1B
Trey Mancini,BAL,AL,147,572,162,30,5,26,86,94,42,140,5,1,0,641820,15149,0,45,0,0,0,88,0,2,90,1B
Austin Barnes,LAD,NL,102,368,103,15,2,9,55,58,59,74,5,5,1,605131,12158,55,0,21,1,0,0,0,0,0,2B
Avisail Garcia,CWS,AL,136,577,169,25,4,23,79,91,42,122,8,5,2,541645,5760,0,0,0,0,0,0,0,132,132,RF
Andrew McCutchen,SF,NL,156,597,165,31,3,23,103,88,76,127,7,10,4,457705,9847,0,0,0,0,0,0,139,13,152,RF
Yasiel Puig,LAD,NL,152,517,140,24,3,24,80,87,60,107,5,11,4,624577,14225,0,0,0,0,0,0,0,145,145,RF
Trea Turner,WSH,NL,98,615,183,32,11,17,109,73,47,116,2,60,9,607208,16252,0,0,0,0,95,0,0,0,0,SS
Jake Lamb,ARI,NL,149,544,136,28,7,29,84,96,75,147,4,5,2,571875,13329,0,0,0,144,0,0,0,0,0,3B
Hanley Ramirez,BOS,AL,133,473,128,24,1,24,72,81,48,104,6,4,1,434670,8001,0,18,0,0,0,0,0,0,0,1B
Brandon Nimmo,NYM,NL,69,374,98,18,4,9,50,56,70,112,5,5,2,607043,12927,0,0,0,0,0,32,12,8,50,LF
Robinson Cano,SEA,AL,150,618,179,35,1,26,92,92,51,91,5,2,1,429664,3269,0,0,150,0,0,0,0,0,0,2B
Stephen Piscotty,OAK,NL,107,511,136,27,3,19,75,83,70,122,7,5,2,572039,13367,0,0,0,0,0,0,0,99,99,RF
Marwin Gonzalez,HOU,AL,134,493,140,29,2,18,69,75,46,103,5,7,3,503556,5497,0,31,22,19,38,47,0,2,48,1B
Alex Avila,ARI,NL,35,367,90,13,1,16,58,64,74,133,1,0,0,488671,7476,28,3,0,0,0,0,0,0,0,C
Chris Taylor,LAD,NL,140,602,170,28,7,20,111,76,61,148,4,18,5,621035,13757,0,0,22,8,14,48,49,0,96,2B
Wil Myers,SD,NL,155,588,151,32,4,29,92,95,73,162,5,19,4,571976,10047,0,154,1,0,0,0,0,0,0,1B
Nick Castellanos,DET,AL,157,586,160,38,8,26,81,94,46,139,3,5,3,592206,11737,0,0,0,129,0,0,0,21,21,3B
Nomar Mazara,TEX,AL,148,595,162,34,3,27,90,92,60,129,6,4,2,608577,14553,0,0,0,0,0,47,0,92,131,LF
Cesar Hernandez,PHI,NL,128,595,174,24,8,11,103,68,77,119,4,19,6,514917,10556,0,0,127,0,1,0,0,0,0,2B
Yoan Moncada,CWS,AL,54,544,141,26,5,21,96,80,78,183,9,19,3,660162,17232,0,0,54,0,0,0,0,0,0,2B
Kyle Seager,SEA,AL,154,585,157,35,1,28,89,99,60,102,7,5,2,572122,9785,0,0,0,154,0,0,0,0,0,3B
Dan Vogelbach,SEA,AL,16,300,82,17,1,10,45,48,42,68,1,0,0,596129,14130,0,7,0,0,0,0,0,0,0,1B
Aaron Hicks,NYY,AL,88,460,121,20,3,19,68,73,68,97,2,14,4,543305,5297,0,0,0,0,0,22,52,14,84,RF
A.J. Pollock,ARI,NL,112,534,152,35,5,16,96,63,48,89,4,27,5,572041,9256,0,0,0,0,0,0,109,0,109,CF
Derek Fisher,HOU,AL,53,355,93,20,4,15,57,59,41,106,3,15,4,605233,16192,0,0,0,0,0,38,3,12,48,RF
Travis Shaw,MIL,NL,144,565,150,32,2,27,82,93,60,144,5,6,1,543768,11982,0,1,0,143,0,0,0,0,0,1B
Ian Happ,CHC,NL,115,509,133,26,4,26,77,86,56,158,3,10,2,664023,17919,0,0,44,4,0,29,54,14,82,2B
Odubel Herrera,PHI,NL,138,599,172,37,5,18,77,84,49,140,7,15,4,546318,11476,0,0,0,0,0,0,133,0,133,2B
Zack Cozart,LAA,NL,122,487,131,27,4,20,69,74,53,82,3,4,1,446359,2616,0,0,0,0,112,0,0,0,0,SS
Matt Chapman,OAK,AL,84,545,132,33,5,29,85,91,68,172,5,5,2,656305,16505,0,0,0,84,0,0,0,0,0,3B
Lorenzo Cain,MIL,AL,155,577,170,28,4,15,93,73,52,102,7,23,4,456715,9077,0,0,0,0,0,0,151,0,151,RF
Mike Moustakas,KC,AL,148,527,142,26,0,29,82,90,41,89,7,1,1,519058,4892,0,0,0,127,0,0,0,0,0,3B
Mike Zunino,SEA,AL,124,457,109,26,0,27,75,82,51,169,11,0,0,572287,13265,120,0,0,0,0,0,0,0,0,C
Gregory Polanco,PIT,NL,108,530,145,33,4,20,71,80,57,95,1,20,5,570256,12907,0,0,0,0,0,25,6,68,96,LF
Jackie Bradley Jr.,BOS,AL,133,522,136,27,5,22,76,83,56,129,9,8,2,598265,12984,0,0,0,0,0,0,132,0,132,RF
