playerName,teamLong,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Jameson Taillon,Pirates,PIT,NL,18,29,11,10,0,0,0,0,0,175,176,0,70,17,36,155,592791,11674,18,0,SP
Josh Ravin,Dodgers,LAD,NL,10,0,1,0,0,0,0,0,0,10,8,0,4,1,4,12,502051,2951,0,10,RP
Johnny Cueto,Giants,SFG,NL,32,32,13,11,0,0,0,0,0,209,197,0,76,19,50,185,456501,6893,32,0,SP
Chaz Roe,Braves,ATL,NL,21,0,1,1,0,0,0,0,0,30,26,0,11,3,12,33,475054,9866,0,21,RP
Keone Kela,Rangers,TEX,AL,35,0,2,2,0,0,0,0,0,45,37,0,17,4,19,54,605309,14696,0,35,RP
Tyler Lyons,Cardinals,STL,NL,30,0,2,2,0,0,0,0,0,40,37,0,15,4,10,40,544928,11334,0,30,RP|SP
Zach Duke,Cardinals,STL,NL,53,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,435043,3840,0,53,RP|SP
Jake Arrieta,Cubs,CHC,NL,31,31,14,9,0,0,0,0,0,195,175,0,74,17,64,193,453562,4153,31,0,SP
Chris Sale,Red Sox,BOS,AL,32,32,15,9,0,0,0,0,0,213,194,0,83,25,46,221,519242,10603,32,0,SP
Cory Mazzoni,Padres,SDP,NL,10,0,0,0,0,0,0,0,0,10,9,0,4,1,3,11,543508,12537,0,0,RP
Carson Smith,Red Sox,BOS,AL,3,0,2,2,0,0,0,0,0,40,36,0,15,3,15,41,605476,13172,0,3,RP
Jon Lester,Cubs,CHC,NL,33,32,14,9,0,0,0,0,0,204,184,0,78,21,55,204,452657,4930,32,0,SP
Chris Archer,Rays,TBD,AL,33,32,13,10,0,0,0,0,0,199,173,0,75,21,64,211,502042,6345,33,0,SP
Pedro Baez,Dodgers,LAD,NL,73,0,3,2,0,0,0,0,0,55,47,0,21,6,17,60,520980,5420,0,73,RP
Daniel Winkler,Braves,ATL,NL,3,0,1,1,0,0,0,0,0,15,13,0,6,1,5,16,595465,12237,0,3,RP
Derek Law,Giants,SFG,NL,61,0,3,3,0,0,0,0,0,55,51,0,21,5,18,52,571882,13133,0,61,RP
Michael Pineda,Yankees,NYY,AL,32,26,10,8,0,0,0,0,0,152,140,0,59,18,36,159,501381,5372,32,0,SP
Arodys Vizcaino,Braves,ATL,NL,43,0,3,3,0,0,0,0,0,65,55,0,25,6,30,76,527055,5498,0,43,RP
Carl Edwards Jr.,Cubs,CHC,NL,37,0,3,2,0,0,0,0,0,55,42,0,20,5,30,69,605218,13607,0,36,RP
Adam Ottavino,Rockies,COL,NL,34,0,3,3,0,0,0,0,0,65,59,0,26,7,23,71,493603,1247,0,34,RP
Yu Darvish,Rangers,TEX,AL,17,32,13,10,0,0,0,0,0,195,166,0,78,23,65,228,506433,13074,17,0,SP
Ian Krol,Braves,ATL,NL,63,0,3,3,0,0,0,0,0,55,49,0,21,5,22,59,571871,10066,0,63,RP
Steven Okert,Giants,SFG,NL,16,0,2,2,0,0,0,0,0,35,30,0,13,3,14,37,595345,13580,0,16,RP
Raisel Iglesias,Reds,CIN,NL,37,0,3,3,0,0,0,0,0,65,56,0,25,7,20,72,628452,17130,5,32,SP
Jay Jackson,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,543351,7432,0,0,RP
Jenrry Mejia,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,516769,8476,0,0,RP|SP
Junichi Tazawa,Marlins,FLA,NL,53,0,3,3,0,0,0,0,0,55,50,0,21,5,16,54,547749,4079,0,53,RP
Cory Gearrin,Giants,SFG,NL,56,0,2,2,0,0,0,0,0,45,41,0,17,4,16,43,518715,7947,0,56,RP
Gerrit Cole,Pirates,PIT,NL,21,31,12,10,0,0,0,0,0,189,184,0,77,18,51,174,543037,13125,21,0,SP
Alex Colome,Rays,TBD,AL,57,0,3,3,0,0,0,0,0,65,58,0,24,7,20,66,517008,6661,0,57,SP
Jacob deGrom,Mets,NYM,NL,27,29,11,10,0,0,0,0,0,180,171,0,72,20,46,177,594798,10954,24,0,SP
Jim Johnson,Braves,ATL,NL,65,0,3,3,0,0,0,0,0,65,63,0,25,5,24,61,462382,3656,0,65,RP
David Price,Red Sox,BOS,AL,35,21,9,6,0,0,0,0,0,133,126,0,52,16,29,129,456034,3184,35,0,SP
Josh Fields,Dodgers,LAD,NL,15,0,2,2,0,0,0,0,0,35,29,0,13,4,12,39,451661,5070,0,15,RP
Michael Dimock,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa526011,0,0,
Addison Reed,Mets,NYM,NL,80,0,3,3,0,0,0,0,0,65,59,0,26,8,19,69,592665,10586,0,80,RP
Corey Knebel,Brewers,MIL,NL,35,0,3,3,0,0,0,0,0,65,56,0,26,7,27,77,608349,15010,0,35,RP
Brad Hand,Padres,SDP,NL,82,0,3,3,0,0,0,0,0,65,58,0,25,6,23,68,543272,9111,0,82,RP|SP
Greg Holland,Rockies,COL,NL,65,0,3,3,0,0,0,0,0,65,57,0,26,6,26,73,518813,7196,0,0,RP
Steven Matz,Mets,NYM,NL,24,28,10,9,0,0,0,0,0,164,154,0,65,17,48,161,571927,13361,22,0,SP
Radhames Liz,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,467785,5843,0,0,RP
Justin Grimm,Cubs,CHC,NL,68,0,2,2,0,0,0,0,0,40,34,0,15,4,16,45,518748,11720,0,68,RP|SP
Roberto Osuna,Blue Jays,TOR,AL,72,0,3,3,0,0,0,0,0,65,54,0,25,8,20,74,532077,13764,0,72,RP
Luke Gregerson,Astros,HOU,AL,59,0,3,3,0,0,0,0,0,65,60,0,25,6,20,64,502381,4090,0,59,RP
Matt Strahm,Royals,KCR,AL,21,0,3,2,0,0,0,0,0,55,48,0,21,5,19,57,621381,13799,0,21,
