playerName,teamLong,team,league,G,GS,W,L,S,BS,HLD,CG,SHO,IP,H,R,ER,HR,BB,K,mlbamID,playerid,G_SP,G_RP,defaultPos
Alexi Ogando,Braves,ATL,NL,36,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,468396,10261,0,36,RP|SP
Ryan Sherriff,Cardinals,STL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549863,0,0,
Mark Lowe,Tigers,DET,AL,54,0,3,3,0,0,0,0,0,55,54,0,26,7,21,49,450275,7416,0,54,RP
Ryan Brinley,Nationals,WSN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa875871,0,0,
Zach Petrick,Cardinals,STL,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa659444,0,0,
Bobby Wahl,Athletics,OAK,AL,10,0,0,1,0,0,0,0,0,10,10,0,5,1,5,9,,sa550093,0,0,
Tommy Layne,Yankees,NYY,AL,34,0,3,3,0,0,0,0,0,55,54,0,25,6,26,49,518927,7501,0,34,RP
Mario Hollands,Phillies,PHI,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,571786,10504,0,0,RP
Miguel Rosario,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa659903,0,0,
Mike Bolsinger,Blue Jays,TOR,AL,6,2,1,1,0,0,0,0,0,9,9,0,4,1,3,8,502211,11137,6,0,SP|RP
Tyler Kinley,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa738149,0,0,
Brooks Brown,Rockies,COL,NL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,453156,5679,0,0,RP
Johnnie Lowe,Brewers,MIL,NL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa388816,0,0,
Tommy Hunter,Orioles,BAL,AL,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,488984,1157,0,12,RP|SP
John Fasola,Rangers,TEX,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa550022,0,0,
Wade Miley,Orioles,BAL,AL,11,29,11,10,0,0,0,0,0,172,182,0,82,22,57,134,489119,8779,11,0,SP
Josh Smith,Reds,CIN,NL,33,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,595001,10946,2,30,SP
Justin Van Grouw,Diamondbacks,ARI,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa739715,0,0,
Jacob Lindgren,Yankees,NYY,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,605338,16215,0,0,RP
Sam Runion,Nationals,WSN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa390308,0,0,
Francisco Rondon,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,sa456143,0,0,
Louis Coleman,Dodgers,LAD,NL,61,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,488786,9720,0,61,RP
John Cornely,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,607405,12364,0,0,RP
Justin Miller,Rockies,COL,NL,40,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,502522,8580,0,40,RP
Chris Bassitt,Athletics,OAK,AL,5,2,1,1,0,0,0,0,0,9,10,0,5,1,3,7,605135,12304,5,0,SP|RP
Kyle McPherson,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,519015,5009,0,0,SP|RP
Jean Machi,Red Sox,BOS,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,466948,3220,0,0,RP
Quinton Miller,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa502562,0,0,
Anthony Varvaro,Red Sox,BOS,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,460008,2385,0,0,RP
Kyuji Fujikawa,Rangers,TEX,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,493117,14443,0,0,RP
Dinelson Lamet,Padres,SDP,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa843182,0,0,
Jake Dunning,Giants,SFG,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,572827,10803,0,0,RP
Tyler Chatwood,Rockies,COL,NL,27,29,10,11,0,0,0,0,0,175,190,0,89,19,71,136,543022,4338,27,0,SP|RP
Esmil Rogers,Yankees,NYY,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,469134,6317,0,0,RP|SP
Seth Lugo,Mets,NYM,NL,17,11,4,5,0,0,0,0,0,85,89,0,42,12,27,69,607625,12447,8,9,RP
Ervin Santana,Twins,MIN,AL,30,32,11,12,0,0,0,0,0,199,209,0,100,28,63,163,429722,3200,30,0,SP
Burch Smith,Padres,SDP,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,572143,12784,0,0,SP|RP
Scott Barnes,Indians,CLE,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,488683,8718,0,0,RP
Ryan Merritt,Indians,CLE,AL,4,3,2,2,0,0,0,0,0,28,31,0,14,4,6,18,607320,13688,1,3,RP
Seth Frankoff,Dodgers,LAD,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549760,0,0,
Matt Cooper,White Sox,CHW,AL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829187,0,0,
JC Ramirez,Angels,ANA,AL,27,6,4,5,0,0,0,0,0,82,82,0,38,10,32,64,500724,8302,0,27,RP
Patrick Francescon,Cubs,CHC,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa599399,0,0,
Chipper Smith,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa659259,0,0,
Edgar Ibarra,Angels,ANA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,500891,5195,0,0,RP
Rodolfo Martinez,Giants,SFG,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa206642,0,0,
Sugar Marimon,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,516970,6027,0,0,RP
Anibal Sanchez,Tigers,DET,AL,35,10,3,3,0,0,0,0,0,55,56,0,27,8,18,46,434671,3284,26,9,SP
Manny Acosta,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,407924,8725,0,0,RP
Edward Mujica,Athletics,OAK,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,465629,3970,0,0,RP
Brett Mckinney,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa738242,0,0,
Rafael Soriano,Cubs,CHC,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,400089,1100,0,0,RP
Jasvir Rakkar,Cubs,CHC,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa658674,0,0,
David Hale,Rockies,COL,NL,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,571735,9756,0,2,SP|RP
German Marquez,Rockies,COL,NL,6,23,8,8,0,0,0,0,0,128,140,0,66,16,42,100,608566,15038,3,3,RP
Bryan Woodall,Diamondbacks,ARI,NL,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa454885,0,0,
Jose Flores,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa503583,0,0,
Martin Agosta,Giants,SFG,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa657962,0,0,
Scott Rice,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,446488,2743,0,0,RP
Abel De Los Santos,Reds,CIN,NL,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,593582,12962,0,5,RP
Andrew Sopko,Dodgers,LAD,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa658286,0,0,
Cody Anderson,Indians,CLE,AL,19,3,1,1,0,0,0,0,0,18,19,0,9,3,5,14,594736,12799,9,10,SP
Daniel Mengden,Athletics,OAK,AL,14,6,2,2,0,0,0,0,0,36,37,0,18,5,14,31,596043,16980,14,0,SP
Eric Peterson,Astros,HOU,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829747,0,0,
Steve Johnson,Mariners,SEA,AL,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,489002,4053,0,16,SP
Chris Perez,Dodgers,LAD,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,453198,5213,0,0,RP
Dave Berg,Cubs,CHC,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa187614,0,0,
Ryan Reid,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,474256,9385,0,0,RP
Luis Mateo,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa597557,0,0,
Matt Hoffman,Twins,MIN,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa392188,0,0,
Aaron Brooks,Athletics,OAK,AL,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,605156,12272,0,0,RP
Cory Taylor,Giants,SFG,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa875205,0,0,
Ian Kennedy,Royals,KCR,AL,33,31,10,12,0,0,0,0,0,184,177,0,89,27,61,168,453178,6986,33,0,SP
Williams Perez,Braves,ATL,NL,11,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,554234,11592,11,0,SP
Thomas Harlan,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa658235,0,0,
Mark Montgomery,Yankees,NYY,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa598328,0,0,
Dustin Antolin,Blue Jays,TOR,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,542884,7119,0,1,RP
Alfredo Simon,,,,15,0,1,2,0,0,0,0,0,30,32,0,15,4,9,22,430580,2155,11,4,SP|RP
Jeff Locke,Marlins,FLA,NL,31,11,4,4,0,0,0,0,0,65,69,0,31,7,24,45,502046,2929,19,11,SP
Iden Nazario,Cardinals,STL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa545221,0,0,
Cody Fassold,Royals,KCR,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa599578,0,0,
Carlos Portuondo,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa910266,0,0,
Joseph Colon,Indians,CLE,AL,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,571572,4920,0,11,RP
Ivan Pineyro,Marlins,FLA,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa597101,0,0,
Matt Anderson,Mariners,SEA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa602589,0,0,
Darren Oliver,Blue Jays,TOR,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,206,0,0,
Thomas Eshelman,Phillies,PHI,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa874778,0,0,
Austin Fleet,Giants,SFG,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549259,0,0,
Jake Buchanan,Cubs,CHC,NL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,594772,10962,1,1,RP
Sam Bragg,Athletics,OAK,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa738235,0,0,
Sean Donatello,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa599283,0,0,
Ben Rowen,Brewers,MIL,NL,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,594985,10983,0,4,RP
Hector Hernandez,Diamondbacks,ARI,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa501640,0,0,
Angel Sanchez,Pirates,PIT,NL,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa596521,0,0,
Drew Rucinski,Angels,ANA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,607968,12499,0,0,RP
R.J. Alvarez,Athletics,OAK,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,571439,13401,0,0,RP
Jeremy Hellickson,Phillies,PHI,NL,32,29,9,12,0,0,0,0,0,171,176,0,84,26,47,141,476451,4371,32,0,SP
Mason Melotakis,Twins,MIN,AL,10,0,0,0,0,0,0,0,0,10,10,0,5,1,4,9,608691,sa621016,0,0,
Jeff Walters,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,502368,sa328221,0,0,
Michael O'Neal,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa914643,0,0,
Jake Thompson,Rays,TBD,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa526929,0,0,
Dustin Molleken,Tigers,DET,AL,4,0,0,0,0,0,0,0,0,10,10,0,5,1,5,9,451783,6200,0,4,RP
Andres Avila,Athletics,OAK,AL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa541874,0,0,
Keynan Middleton,Angels,ANA,AL,15,0,1,1,0,0,0,0,0,15,14,0,7,2,7,13,,sa737638,0,0,
Everett Teaford,Rays,TBD,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,501870,3732,0,0,RP
Clay Holmes,Pirates,PIT,NL,25,0,1,1,0,0,0,0,0,25,26,0,12,3,11,20,,sa598167,0,0,
Dovydas Neverauskas,Pirates,PIT,NL,10,0,0,1,0,0,0,0,0,10,10,0,5,1,5,8,,sa549722,0,0,
Burke Badenhop,Reds,CIN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,488674,9736,0,0,RP
Chris Narveson,Indians,CLE,AL,6,0,1,1,0,0,0,0,0,20,20,0,9,3,7,17,429780,2141,0,6,SP|RP
Daniel Stumpf,Tigers,DET,AL,7,0,1,1,0,0,0,0,0,25,25,0,12,3,10,21,621385,13780,0,7,RP
Fabian Williamson,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,sa328152,0,0,
Andrew Werner,Padres,SDP,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,599819,11783,0,0,SP
Rafael Montero,Mets,NYM,NL,9,3,2,3,0,0,0,0,0,48,47,0,24,6,21,44,606160,12760,3,6,RP
Jose Rosario,Cubs,CHC,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa506730,0,0,
David Huff,Angels,ANA,AL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,453307,4257,2,0,RP
Wily Peralta,Brewers,MIL,NL,23,24,7,10,0,0,0,0,0,140,154,0,72,18,49,108,503449,7738,23,0,SP
Chad Bettis,Rockies,COL,NL,32,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,518452,10587,32,0,SP
Dietrich Enns,Yankees,NYY,AL,20,0,1,1,0,0,0,0,0,20,19,0,9,3,9,18,,sa579749,0,0,
Brandon Cunniff,Braves,ATL,NL,15,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,594792,11509,0,15,RP
Dustin Moseley,Padres,SDP,NL,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,7060,0,0,
Justin Germano,Rangers,TEX,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,430683,1938,0,0,RP|SP
Ryan Newell,Marlins,FLA,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa658029,0,0,
Joe Mantiply,Tigers,DET,AL,5,0,0,0,0,0,0,0,0,10,10,0,5,1,3,8,573009,14857,0,5,RP
Ross Ohlendorf,,,,64,0,2,2,0,0,0,0,0,35,33,0,17,5,14,33,456027,8268,0,64,RP|SP
Edgar Olmos,Mariners,SEA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,543607,10174,0,0,RP
Ryan Demmin,Phillies,PHI,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa551725,0,0,
Sean Newcomb,Braves,ATL,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,sa709548,0,0,
Chance Ruffin,Mariners,SEA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,592704,11745,0,0,RP
Cory Rasmus,Angels,ANA,AL,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,474284,2413,1,18,RP
Guillermo Moscoso,Giants,SFG,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,5106,0,0,
Alex Wilson,Tigers,DET,AL,62,0,3,3,0,0,0,0,0,55,58,0,27,7,18,40,543935,9239,0,62,RP
Alex Torres,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,456776,7038,0,0,RP
Jesus Sanchez,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa328511,0,0,
Bryan Harper,Nationals,WSN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549768,0,0,
Gus Schlosser,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,534576,12321,0,0,RP
Jerry Vasto,Rockies,COL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829502,0,0,
Randy Boone,Blue Jays,TOR,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa389685,0,0,
Travis Hissong,Yankees,NYY,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa830119,0,0,
Samuel Deduno,Astros,HOU,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,465679,5285,0,0,RP|SP
Jesen Dygestile-Therrien,Phillies,PHI,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549979,0,0,
Kyle Gibson,Twins,MIN,AL,25,28,9,10,0,0,0,0,0,163,180,0,82,19,56,110,502043,10123,25,0,SP
Matthew Montgomery,Marlins,FLA,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa501634,0,0,
Yhonathan Barrios,Brewers,MIL,NL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,553872,11166,0,0,RP
Brent Honeywell,Rays,TBD,AL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa828706,0,0,
Vic Black,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,502195,9195,0,0,RP
Warwick Saupold,Tigers,DET,AL,6,0,0,0,0,0,0,0,0,10,11,0,5,1,3,7,599683,13211,0,6,RP
Ryan Chaffee,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,sa454506,0,0,
Merrill Kelly,Rays,TBD,AL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa552177,0,0,
Paul Maholm,Dodgers,LAD,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,430904,8678,0,0,SP|RP
Ben Paullus,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa599733,0,0,
Matt Capps,Twins,MIN,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,448165,4788,0,0,RP
Kyle Kaminska,Red Sox,BOS,AL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa392170,0,0,
Esmerling De La Rosa,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa550547,0,0,
Scott Feldman,Reds,CIN,NL,26,28,8,11,0,0,0,0,0,169,182,0,84,22,51,119,444857,6283,5,21,SP|RP
Layne Somsen,Reds,CIN,NL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,643550,15301,0,2,RP
Trevor Belicek,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa875674,0,0,
Brandon Woodruff,Brewers,MIL,NL,5,5,1,2,0,0,0,0,0,28,29,0,14,4,10,24,,sa597893,0,0,
Eric Alonzo,Angels,ANA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829845,0,0,
Mitchell Harris,Cardinals,STL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,518771,4530,0,0,RP
Rett Varner,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa503048,0,0,
Kevin Jepsen,Rays,TBD,AL,33,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,448178,6475,0,33,RP
Alex Wimmers,Twins,MIN,AL,16,0,0,1,0,0,0,0,0,10,10,0,5,1,4,8,592872,11394,0,16,RP
Johnny Shuttlesworth,Diamondbacks,ARI,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa738406,0,0,
Andy Ferguson,Royals,KCR,AL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa598931,0,0,
Zach Neal,Athletics,OAK,AL,24,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,594943,11294,6,18,RP
Daniel Burawa,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,592181,11397,0,0,RP
Hector Velazquez,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa541875,0,0,
Dayan Diaz,Reds,CIN,NL,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,500765,11543,0,6,RP
Trevor Oaks,Dodgers,LAD,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829144,0,0,
Angel Cuan,Mets,NYM,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa502992,0,0,
Gilberto Mendez,Nationals,WSN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa597318,0,0,
Pedro Feliciano,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,408230,1601,0,0,RP
Pedro Rodriguez,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa528296,0,0,
Mike Fiers,Astros,HOU,AL,31,31,11,11,0,0,0,0,0,180,183,0,88,28,52,150,571666,7754,30,1,SP|RP
Collin Cargill,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa598617,0,0,
Ronnie Shaban,Cardinals,STL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa577693,0,0,
Ryan Williams,Cubs,CHC,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa829137,0,0,
Austin Gomber,Cardinals,STL,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa827376,0,0,
Dane de la Rosa,Angels,ANA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,451773,10095,0,0,RP
Zach Lee,Padres,SDP,NL,2,2,0,1,0,0,0,0,0,9,10,0,5,1,3,7,545346,11468,0,0,RP
Eric Yardley,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa744476,0,0,
CC Sabathia,Yankees,NYY,AL,30,24,8,9,0,0,0,0,0,144,149,0,70,20,48,116,282332,404,30,0,SP
Nick Routt,Reds,CIN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa621594,0,0,
Jose Dominguez,Padres,SDP,NL,34,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,523848,11571,0,34,RP
John Hussey,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa281349,0,0,
Kris Medlen,Royals,KCR,AL,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,450665,9417,6,0,SP|RP
Jorge Ibarra,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa509258,0,0,
Cesar Jimenez,Brewers,MIL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,462945,3762,0,0,RP
Jimmy Patterson,Rays,TBD,AL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa546805,0,0,
Chad Rogers,Braves,ATL,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549784,0,0,
Logan Taylor,Mets,NYM,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa658168,0,0,
Jesus Pirela,Rangers,TEX,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa504880,0,0,
Richard Rodriguez,Orioles,BAL,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa548063,0,0,
Chad Durbin,Phillies,PHI,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,239795,1442,0,0,RP
Greg Mahle,Angels,ANA,AL,24,0,1,1,0,0,0,0,0,25,25,0,11,3,10,19,657670,16877,0,24,RP
Deck Mcguire,Cardinals,STL,NL,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa548174,0,0,
Lucas Luetge,Mariners,SEA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,476595,8337,0,0,RP
Jaime Schultz,Rays,TBD,AL,2,2,1,1,0,0,0,0,0,9,8,0,4,1,5,9,,sa708975,0,0,
Jeff Beliveau,Rays,TBD,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,542924,8504,0,0,RP
Jason Hursh,Braves,ATL,NL,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,592422,14914,0,2,RP
Neil Holland,Nationals,WSN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa548553,0,0,
Clario Perez,Pirates,PIT,NL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,,sa507214,0,0,
Tom Koehler,Marlins,FLA,NL,33,24,8,9,0,0,0,0,0,139,144,0,70,17,58,110,543408,6570,33,0,SP
Adam Miller,Diamondbacks,ARI,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa738543,0,0,
Ted Lilly,Dodgers,LAD,NL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,833,0,0,
Wesley Wright,Angels,ANA,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,449079,5960,0,0,RP|SP
Matt Palmer,Padres,SDP,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,461212,4457,0,0,RP
Arik Sikula,Blue Jays,TOR,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa579472,0,0,
Casey Janssen,Nationals,WSN,NL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,445163,7355,0,0,RP
Kevin Whelan,Tigers,DET,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,460128,3462,0,0,RP
Jose Valdez,Astros,HOU,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,451990,3217,0,0,RP
Tyler Higgins,Marlins,FLA,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa503722,0,0,
Joel Bender,Reds,CIN,NL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,,sa549763,0,0,
Clayton Mortensen,Red Sox,BOS,AL,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,489150,3166,0,0,RP
Jason Hammel,Royals,KCR,AL,35,28,9,10,0,0,0,0,0,158,163,0,80,23,47,126,434628,4538,30,0,SP
Aaron Laffey,Rockies,COL,NL,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,444836,6248,0,0,RP|SP
